,date,utm_source,users
440,2020-03-03,yandex-direct,87
441,2020-03-04,-,101
442,2020-03-04,facebook_ads,46
443,2020-03-04,google_ads,80
444,2020-03-04,instagram_ads,60
445,2020-03-04,referal,29
446,2020-03-04,vk_ads,52
447,2020-03-04,yandex-direct,84
448,2020-03-05,-,72
449,2020-03-05,facebook_ads,33
450,2020-03-05,google_ads,76
451,2020-03-05,instagram_ads,46
452,2020-03-05,referal,36
453,2020-03-05,vk_ads,67
454,2020-03-05,yandex-direct,81
455,2020-03-06,-,1367
456,2020-03-06,facebook_ads,580
457,2020-03-06,google_ads,1051
458,2020-03-06,instagram_ads,833
459,2020-03-06,referal,380
460,2020-03-06,vk_ads,927
461,2020-03-06,yandex-direct,1220
462,2020-03-07,-,643
463,2020-03-07,facebook_ads,259
464,2020-03-07,google_ads,470
465,2020-03-07,instagram_ads,366
466,2020-03-07,referal,185
467,2020-03-07,vk_ads,430
468,2020-03-07,yandex-direct,581
469,2020-03-08,-,235
470,2020-03-08,facebook_ads,88
471,2020-03-08,google_ads,198
472,2020-03-08,instagram_ads,150
473,2020-03-08,referal,52
474,2020-03-08,vk_ads,158
475,2020-03-08,yandex-direct,217
476,2020-03-09,-,139
477,2020-03-09,facebook_ads,69
478,2020-03-09,google_ads,126
479,2020-03-09,instagram_ads,86
480,2020-03-09,referal,37
481,2020-03-09,vk_ads,113
482,2020-03-09,yandex-direct,133
483,2020-03-10,-,129
484,2020-03-10,facebook_ads,59
485,2020-03-10,google_ads,113
486,2020-03-10,instagram_ads,59
487,2020-03-10,referal,44
488,2020-03-10,vk_ads,91
489,2020-03-10,yandex-direct,121
490,2020-03-11,-,110
491,2020-03-11,facebook_ads,48
492,2020-03-11,google_ads,85
493,2020-03-11,instagram_ads,69
494,2020-03-11,referal,31
495,2020-03-11,vk_ads,91
496,2020-03-11,yandex-direct,115
497,2020-03-12,-,140
498,2020-03-12,facebook_ads,59
499,2020-03-12,google_ads,121
500,2020-03-12,instagram_ads,86
501,2020-03-12,referal,36
502,2020-03-12,vk_ads,103
503,2020-03-12,yandex-direct,164
504,2020-03-13,-,107
505,2020-03-13,facebook_ads,46
506,2020-03-13,google_ads,99
507,2020-03-13,instagram_ads,56
508,2020-03-13,referal,34
509,2020-03-13,vk_ads,74
510,2020-03-13,yandex-direct,83
511,2020-03-14,-,101
512,2020-03-14,facebook_ads,36
513,2020-03-14,google_ads,81
514,2020-03-14,instagram_ads,38
515,2020-03-14,referal,31
516,2020-03-14,vk_ads,70
517,2020-03-14,yandex-direct,86
518,2020-03-15,-,95
519,2020-03-15,facebook_ads,50
520,2020-03-15,google_ads,84
521,2020-03-15,instagram_ads,53
522,2020-03-15,referal,29
523,2020-03-15,vk_ads,79
524,2020-03-15,yandex-direct,88
525,2020-03-16,-,76
526,2020-03-16,facebook_ads,31
527,2020-03-16,google_ads,67
528,2020-03-16,instagram_ads,52
529,2020-03-16,referal,19
530,2020-03-16,vk_ads,50
531,2020-03-16,yandex-direct,65
532,2020-03-17,-,79
533,2020-03-17,facebook_ads,48
534,2020-03-17,google_ads,79
